广东频道[A],#genre#
广东珠江[A],http://113.111.17.157:8889/udp/239.77.0.1:5146
岭南戏曲[A],http://113.111.17.157:8889/udp/239.77.0.122:5146
广东体育[A],http://113.111.17.157:8889/udp/239.77.0.112:5146
广东新闻[A],http://113.111.17.157:8889/udp/239.77.0.173:5146
大湾区卫视[A],http://113.111.17.157:8889/udp/239.77.0.215:5146
广东影视[A],http://113.111.17.157:8889/udp/239.77.0.217:5146
广东民生[A],http://113.111.17.157:8889/udp/239.77.0.225:5146
广东少儿[A],http://113.111.17.157:8889/udp/239.77.0.250:5146
广东卫视[A],http://113.111.17.157:8889/udp/239.77.1.19:5146
广东4k[A],http://113.111.17.157:8889/rtp/239.77.0.245:5146
广东经济科教[A],http://113.111.17.157:8889/rtp/239.77.0.167:5146
嘉佳卡通[A],http://113.111.17.157:8889/rtp/239.77.0.179:5146
广州综合[A],http://113.111.17.157:8889/udp/239.253.43.71:5146
广州新闻[A],http://113.111.17.157:8889/udp/239.253.43.72:5146
广州影视[A],http://113.111.17.157:8889/udp/239.253.43.73:5146
广州法治[A],http://113.111.17.157:8889/rtp/239.253.43.74:5146
广州竞赛[A],http://113.111.17.157:8889/rtp/239.253.43.75:5146
深圳卫视[A],http://113.111.17.157:8889/rtp/239.77.0.130:5146
深圳都市[A],http://113.111.17.157:8889/rtp/239.77.1.176:5146


广东频道[B],#genre#
广东珠江[B],http://183.17.238.9:8800/udp/239.77.0.1:5146
岭南戏曲[B],http://183.17.238.9:8800/udp/239.77.0.122:5146
广东体育[B],http://183.17.238.9:8800/udp/239.77.0.112:5146
广东新闻[B],http://183.17.238.9:8800/udp/239.77.0.173:5146
大湾区卫视[B],http://183.17.238.9:8800/udp/239.77.0.215:5146
广东影视[B],http://183.17.238.9:8800/udp/239.77.0.217:5146
广东民生[B],http://183.17.238.9:8800/udp/239.77.0.225:5146
广东少儿[B],http://183.17.238.9:8800/udp/239.77.0.250:5146
广东卫视[B],http://183.17.238.9:8800/udp/239.77.1.19:5146
广东4k[B],http://183.17.238.9:8800/rtp/239.77.0.245:5146
广东经济科教[B],http://183.17.238.9:8800/rtp/239.77.0.167:5146
嘉佳卡通[B],http://183.17.238.9:8800/rtp/239.77.0.179:5146
广州综合[B],http://183.17.238.9:8800/udp/239.253.43.71:5146
广州新闻[B],http://183.17.238.9:8800/udp/239.253.43.72:5146
广州影视[B],http://183.17.238.9:8800/udp/239.253.43.73:5146
广州法治[B],http://183.17.238.9:8800/rtp/239.253.43.74:5146
广州竞赛[B],http://183.17.238.9:8800/rtp/239.253.43.75:5146
深圳卫视[B],http://183.17.238.9:8800/rtp/239.77.0.130:5146
深圳都市[B],http://183.17.238.9:8800/rtp/239.77.1.176:5146


广东频道[E失效],#genre#
广东珠江[E],http://88.88.88.88:8888/udp/239.77.0.1:5146
岭南戏曲[E],http://88.88.88.88:8888/udp/239.77.0.122:5146
广东体育[E],http://88.88.88.88:8888/udp/239.77.0.112:5146
广东新闻[E],http://88.88.88.88:8888/udp/239.77.0.173:5146
大湾区卫视[E],http://88.88.88.88:8888/udp/239.77.0.215:5146
广东影视[E],http://88.88.88.88:8888/udp/239.77.0.217:5146
广东民生[E],http://88.88.88.88:8888/udp/239.77.0.225:5146
广东少儿[E],http://88.88.88.88:8888/udp/239.77.0.250:5146
广东卫视[E],http://88.88.88.88:8888/udp/239.77.1.19:5146
广东4k[E],http://88.88.88.88:8888/rtp/239.77.0.245:5146
广东经济科教[E],http://88.88.88.88:8888/rtp/239.77.0.167:5146
嘉佳卡通[E],http://88.88.88.88:8888/rtp/239.77.0.179:5146
广州综合[E],http://88.88.88.88:8888/udp/239.253.43.71:5146
广州新闻[E],http://88.88.88.88:8888/udp/239.253.43.72:5146
广州影视[E],http://88.88.88.88:8888/udp/239.253.43.73:5146
广州法治[E],http://88.88.88.88:8888/rtp/239.253.43.74:5146
广州竞赛[E],http://88.88.88.88:8888/rtp/239.253.43.75:5146
深圳卫视[E],http://88.88.88.88:8888/rtp/239.77.0.130:5146
深圳都市[E],http://88.88.88.88:8888/rtp/239.77.1.176:5146

广东频道[J失效],#genre#
广东珠江[J],http://88.88.88.88:8888/udp/239.77.0.1:5146
岭南戏曲[J],http://88.88.88.88:8888/udp/239.77.0.122:5146
广东体育[J],http://88.88.88.88:8888/udp/239.77.0.112:5146
广东新闻[J],http://88.88.88.88:8888/udp/239.77.0.173:5146
大湾区卫视[J],http://88.88.88.88:8888/udp/239.77.0.215:5146
广东影视[J],http://88.88.88.88:8888/udp/239.77.0.217:5146
广东民生[J],http://88.88.88.88:8888/udp/239.77.0.225:5146
广东少儿[J],http://88.88.88.88:8888/udp/239.77.0.250:5146
广东卫视[J],http://88.88.88.88:8888/udp/239.77.1.19:5146
广东4k[J],http://88.88.88.88:8888/rtp/239.77.0.245:5146
广东经济科教[J],http://88.88.88.88:8888/rtp/239.77.0.167:5146
嘉佳卡通[J],http://88.88.88.88:8888/rtp/239.77.0.179:5146
广州综合[J],http://88.88.88.88:8888/udp/239.253.43.71:5146
广州新闻[J],http://88.88.88.88:8888/udp/239.253.43.72:5146
广州影视[J],http://88.88.88.88:8888/udp/239.253.43.73:5146
广州法治[J],http://88.88.88.88:8888/rtp/239.253.43.74:5146
广州竞赛[J],http://88.88.88.88:8888/rtp/239.253.43.75:5146
深圳卫视[J],http://88.88.88.88:8888/rtp/239.77.0.130:5146
深圳都市[J],http://88.88.88.88:8888/rtp/239.77.1.176:5146

