广东,#genre#
广东综艺4K,http://10.10.10.5:8080/gudou.php?id=gdzy4k
广东珠江,http://10.10.10.5:8080/gudou.php?id=gdzj
广东民生,http://10.10.10.5:8080/gudou.php?id=gdms
广东新闻,http://10.10.10.5:8080/gudou.php?id=gdxw
广东体育,http://10.10.10.5:8080/gudou.php?id=gdtyhd
广东体育,http://10.10.10.5:8080/gudou.php?id=gdty
广东经济科教,http://10.10.10.5:8080/gudou.php?id=gdjjkjhd
广东经济科教,http://10.10.10.5:8080/gudou.php?id=gdjjkj
广东影视,http://10.10.10.5:8080/gudou.php?id=gdys
广东少儿,http://10.10.10.5:8080/gudou.php?id=gdse
岭南戏曲,http://10.10.10.5:8080/gudou.php?id=lnxq
嘉佳卡通,http://10.10.10.5:8080/gudou.php?id=jjkt
广东导视,http://10.10.10.5:8080/gudou.php?id=gdds
广州综合,http://10.10.10.5:8080/gudou.php?id=gzzh
广州新闻,http://10.10.10.5:8080/gudou.php?id=gzxw
广州法治,http://10.10.10.5:8080/gudou.php?id=gzfz
广州竞赛,http://10.10.10.5:8080/gudou.php?id=gzjs
广州影视,http://10.10.10.5:8080/gudou.php?id=gzys
增城电视台,http://10.10.10.5:8080/gudou.php?id=zctv
潮州综合,http://10.10.10.5:8080/gudou.php?id=czzh
潮州民生,http://10.10.10.5:8080/gudou.php?id=czms
潮安综合,http://10.10.10.5:8080/gudou.php?id=cazh
饶平综合,http://10.10.10.5:8080/gudou.php?id=rpzh
佛山综合,http://10.10.10.5:8080/gudou.php?id=fszhhd
佛山综合,http://10.10.10.5:8080/gudou.php?id=fszh
佛山公共,http://10.10.10.5:8080/gudou.php?id=fsgghd
佛山公共,http://10.10.10.5:8080/gudou.php?id=fsgg
佛山影视,http://10.10.10.5:8080/gudou.php?id=fsys
顺德台,http://10.10.10.5:8080/gudou.php?id=fssd
南海台,http://10.10.10.5:8080/gudou.php?id=fsnh
东莞新闻综合,http://10.10.10.5:8080/gudou.php?id=dg1hd
东莞新闻综合,http://10.10.10.5:8080/gudou.php?id=dg1
东莞生活资讯,http://10.10.10.5:8080/gudou.php?id=dg2hd
东莞生活资讯,http://10.10.10.5:8080/gudou.php?id=dg2
河源综合,http://10.10.10.5:8080/gudou.php?id=hy1hd
