央视频道,#genre#
CCTV1,http://222.217.247.33:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://222.217.247.33:8181/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://222.217.247.33:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://171.110.10.10:8181/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://171.110.10.10:8181/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://222.217.247.33:8181/tsfile/live/1020_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://171.110.10.10:8181/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV台球,http://171.110.10.10:8181/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV精品,http://222.217.247.33:8181/tsfile/live/1107_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
XF星空卫视,http://222.217.247.33:8181/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://222.217.247.33:8181/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://222.217.247.33:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视LT,http://171.110.10.10:8181/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://222.217.247.33:8181/tsfile/live/0110_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://222.217.247.33:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://222.217.247.33:8181/tsfile/live/1034_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视g,http://222.217.247.33:8181/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://222.217.247.33:8181/tsfile/live/1032_1.m3u8?key=txiptv&playlive=0&authid=0
西藏卫视,http://222.217.247.33:8181/tsfile/live/0111_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://171.110.10.10:8181/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
爱上4Kg,http://171.110.10.10:8181/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
XF凤凰中文,http://222.217.247.33:8181/tsfile/live/1083_1.m3u8?key=txiptv&playlive=1&authid=0
XF凤凰资讯,http://171.110.10.10:8181/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
XF凤凰资讯,http://222.217.247.33:8181/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
XF广州台,http://222.217.247.33:8181/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
XF有线电影,http://222.217.247.33:8181/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&authid=0
XF有线电影,http://171.110.10.10:8181/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&authid=0
中国气象,http://222.217.247.33:8181/tsfile/live/1137_1.m3u8?key=txiptv&playlive=0&authid=0
兵器科技,http://222.217.247.33:8181/tsfile/live/1098_1.m3u8?key=txiptv&playlive=1&authid=0
动作电影,http://171.110.10.10:8181/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
女性时尚,http://222.217.247.33:8181/tsfile/live/1103_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://171.110.10.10:8181/tsfile/live/1056_1.m3u8?key=txiptv&playlive=0&authid=0
岭南戏曲dx,http://171.110.10.10:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
广西影视,http://171.110.10.10:8181/tsfile/live/1054_1.m3u8?key=txiptv&playlive=0&authid=0
广西影视,http://222.217.247.33:8181/tsfile/live/1054_1.m3u8?key=txiptv&playlive=0&authid=0
广西新闻,http://222.217.247.33:8181/tsfile/live/1052_1.m3u8?key=txiptv&playlive=0&authid=0
广西科技,http://222.217.247.33:8181/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0
广西都市,http://222.217.247.33:8181/tsfile/live/1051_1.m3u8?key=txiptv&playlive=0&authid=0
早期教育g,http://171.110.10.10:8181/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0
炫动卡通,http://171.110.10.10:8181/tsfile/live/1095_1.m3u8?key=txiptv&playlive=1&authid=0
珠江台电信,http://171.110.10.10:8181/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
电视指南,http://171.110.10.10:8181/tsfile/live/1099_1.m3u8?key=txiptv&playlive=1&authid=0
电视指南,http://222.217.247.33:8181/tsfile/live/1099_1.m3u8?key=txiptv&playlive=1&authid=0
茂名综合g,http://171.110.10.10:8181/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://222.217.247.33:8181/tsfile/live/1100_1.m3u8?key=txiptv&playlive=1&authid=0
高尔夫网球,http://171.110.10.10:8181/tsfile/live/1102_1.m3u8?key=txiptv&playlive=1&authid=0
